# Perturbation data for N = 4, M = 5, 0.1 perturbation.
# It implements (1/2 (1+cos(theta)))^3 cos(M theta - N zeta)
# This corresponds to a perturbation that is present extra predominantly outside.
#   N   M   delta_c     delta_s
    4   5   0.03125     0.0
    4   6   0.0234375   0.0
    4   4   0.0234375   0.0
    4   7   0.009375    0.0
    4   3   0.009375    0.0
    4   8   0.0015625   0.0
    4   2   0.0015625   0.0
