# Perturbation data for N = 3, M = 9, 0.01 perturbation.
# It implements (1/2 (1+cos(theta)))^3 cos(M theta - N zeta)
# This corresponds to a perturbation that is present extra predominantly outside.
#   N   M   delta_c       delta_s
    3   9   0.003125     0.0
    3   10  0.00234375   0.0
    3   8   0.00234375   0.0
    3   11  0.0009375    0.0
    3   7   0.0009375    0.0
    3   12  0.00015625   0.0
    3   6   0.00015625   0.0
